shift,allocated1,allocated2,allocated3,allocated4,allocated,abandoned1,abandoned2,abandoned3,abandoned4,abandoned,Arrival time1,Arrival time2,Arrival time3,Arrival time4,Arrival time,sharing1,sharing2,sharing,SW1, SW2, SW3,SW4,SWP,SWpenalty, SW,SW1 %,SW2 %, SW3 %,SW4 %,SWP %,Working,Waiting,Moving,Patroling,Working%,Waiting%,Moving%,Patroling%,Reallocation%,completed1,completed2,completed3,completed4,completed,working1, working2, working3, working4, working,sharing1_1,sharing1_2,sharing1_3,sharing2_1,sharing2_2,SW1_average,SW2_average,SW3_average,SW4_average
0,0.8571428571428571,0.8,NaN,NaN,0.25,0.8333333333333334,1.0,NaN,NaN,0.9,24.64056195596297,65.05587436347177,NaN,NaN,40.80668691896649,1.0,1.0,1.0,NaN,NaN,0.0,0.0,2075.932496184174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28567.517035654168,0.0,19829.375916816098,24414.815924481565,0.39234784454697874,0.0,0.27233773554644564,0.3353144199065756,0.022633744855967083,0.8333333333333334,0.5,NaN,NaN,0.7,0.8245889144732704,0.31595582319793525,NaN,NaN,0.679265174108889,0.3537212446988276,0.29682465418530146,0.34945410111587094,0.23786699261254396,0.7621330073874557,1472.1683671751903,1017.2136158164342,NaN,NaN
0,0.75,0.75,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,56.802496248432725,17.45772245554046,60.25143269206861,82.30363482000772,48.583858900813304,1.0,1.0,1.0,NaN,2802.745142278546,NaN,NaN,2851.0527324528025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19683.439884731557,0.0,19285.162546143954,33971.68443601449,0.2698569025462185,0.0,0.26439658211569395,0.46574651533808753,0.025720164609053506,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7,0.7066620945927521,0.446276018718189,0.4553200653059417,0.39794113793408886,0.5163510707382649,0.20275469715424146,0.20066145199274452,0.5965838508530141,0.003477588116171191,0.9965224118838287,1505.2138958258602,1373.886857523527,703.0425913336877,395.8390276066907
0,1.0,1.0,NaN,1.0,0.3,1.0,0.5,NaN,0.0,0.6666666666666666,37.568731008507896,59.43769810737805,NaN,144.4812122213928,57.41258799235004,1.0,0.8333333333333334,0.9090909090909091,NaN,3985.4673906353355,0.0,160.3719406704081,2250.2371101386625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25863.96698387401,0.0,21106.998554828657,26707.43363919181,0.351038666318281,0.0,0.2864747170180284,0.3624866166636906,0.01851851851851852,0.8,0.3333333333333333,NaN,0.0,0.5,0.694969532277167,0.8494619295371142,NaN,NaN,0.7464669980304827,0.31952114833481,0.2436930209447351,0.43678583072045496,0.3087146761801124,0.6912853238198876,1277.1289529852497,1331.9643598788318,NaN,NaN
0,1.0,1.0,1.0,NaN,0.3,0.75,0.6666666666666666,1.0,NaN,0.75,26.707143628641106,49.6613262843837,70.50641003609897,NaN,45.48411269108871,0.5,0.8333333333333334,0.7,NaN,NaN,875.0103630684285,0.0,2416.083707535882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19775.868844915378,0.0,23660.843537619206,29372.93487862002,0.2716105569634616,0.0,0.32496852309628943,0.403420919940249,0.019547325102880663,0.75,0.5,0.5,NaN,0.5833333333333334,0.5850452675686135,0.2703744726966113,0.6092095629168386,NaN,0.45363839767321623,0.3324436261034977,0.32646870536549394,0.3410876685310084,0.21838690160133267,0.7816130983986674,1301.3121873140021,824.2379612352315,683.0171199750924,NaN
0,0.6666666666666666,1.0,1.0,1.0,0.275,1.0,1.0,1.0,1.0,1.0,5.006071911211439,25.72768639150843,9.909635849893364,50.36731021722221,22.12603794296192,1.0,0.75,0.8333333333333334,NaN,NaN,NaN,727.7869931058882,3230.471890335794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25158.243604521092,0.0,15302.723328076268,32574.589060975763,0.3444656956775263,0.0,0.209524294296094,0.44601001002637963,0.017489711934156386,1.0,0.5,0.3333333333333333,0.5,0.5454545454545454,0.6987571903401236,0.9297403795494904,0.7663255439279957,0.7144731081240143,0.7896322986385397,0.23815361720694875,0.08612025559663261,0.6757261271964187,0.14504589101435061,0.8549541089856494,2004.801381880575,1439.3466430613717,1000.3671648524103,666.5614992386878
0,1.0,0.75,0.0,1.0,0.25,0.75,0.0,NaN,0.6666666666666666,0.5,22.424246094006694,245.04123205366088,NaN,94.63889442461543,110.87373638108556,0.75,0.6666666666666666,0.7142857142857143,NaN,1244.2597342324748,81.26047835813269,707.7533694570453,3028.051821845872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15362.1753650174,0.0,20836.57237808893,35917.20383281332,0.2130204903258464,0.0,0.2889315321056722,0.4980479775684814,0.012345679012345682,1.0,0.3333333333333333,NaN,0.0,0.5,0.6575216232971935,0.8028990771427403,NaN,NaN,0.6865971140663029,0.3596112850998754,0.24699276265039605,0.3933959522497287,0.4924026689034966,0.5075973310965034,1395.8868356891671,1183.8245681136993,NaN,NaN
0,1.0,1.0,1.0,1.0,0.3,0.5,0.75,1.0,0.8,0.75,45.1154936806196,49.15542896121147,51.703537187536085,14.494153459072,34.25225064074842,1.0,0.75,0.8333333333333334,1878.0932848826187,NaN,NaN,NaN,2715.162415543338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28442.162481223015,0.0,14445.288989112927,29937.315404580797,0.39055617617115146,0.0,0.1983568174536562,0.4110870063751924,0.016460905349794244,0.5,0.5,1.0,0.4,0.5,0.6831693555335673,0.6848022063492212,0.7928573538255215,0.7165880143315729,0.7131345251201129,0.07119064964745862,0.5166675378624191,0.4121418124901222,0.8331349323633832,0.16686506763661677,1815.0355246605143,613.1057312058047,771.2938094654872,660.3903413483915
0,1.0,0.8333333333333334,1.0,1.0,0.275,1.0,1.0,1.0,1.0,1.0,10.914586281780657,44.1849187359744,16.494782953597223,10.552081667094807,26.986135953165217,1.0,0.8,0.8571428571428571,NaN,NaN,1888.9566535817617,NaN,3366.7485063006047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18932.202637502778,0.0,17337.86208630429,36063.255666752884,0.2617355671671001,0.0,0.23969398878261658,0.4985704440502833,0.019547325102880663,0.5,0.6,0.5,0.5,0.5454545454545454,0.9319567899972336,0.5295245855646739,0.3414403641962309,0.8406506233961948,0.6171035890472801,0.2454598973371156,0.14046863978968646,0.6140714628731979,0.4117082851758423,0.5882917148241577,2007.407580200862,1016.4816717902618,958.1901381559823,799.9999999999999
0,0.75,1.0,1.0,1.0,0.275,1.0,0.6666666666666666,1.0,1.0,0.8181818181818182,26.04109511988673,32.098222812907046,220.48069240108188,34.97924102573497,47.83386869671994,1.0,0.8333333333333334,0.8888888888888888,NaN,3027.241898247705,28.902545307678764,71.78684847708827,2496.8556151850044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27363.408735936777,0.0,17229.054887748083,27646.133433062278,0.3787920841602365,0.0,0.23850206938838767,0.3827058464513758,0.015432098765432103,1.0,0.3333333333333333,0.0,0.0,0.45454545454545453,0.758698648469411,0.5716089149321414,NaN,NaN,0.6838627550545031,0.29524751734224747,0.24196958676044197,0.46278289589731064,0.2481565729997023,0.7518434270002976,1674.3760220284792,1164.3386275516143,NaN,NaN
0,1.0,0.8571428571428571,1.0,1.0,0.275,0.0,1.0,0.5,1.0,0.8181818181818182,8.636864909596632,86.84255698259807,22.05757081377351,11.7724738241183,54.304754189178965,1.0,0.6666666666666666,0.7142857142857143,2239.5849992898557,2090.797298073636,1947.6561550616018,NaN,2504.7891397165563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30262.159073769137,0.0,16244.605026227522,25814.86409629285,0.418438575409752,0.0,0.22461614086090165,0.3569452837293463,0.019547325102880663,1.0,0.16666666666666666,1.0,1.0,0.5454545454545454,0.9618624060020218,0.8148231663416152,0.5258235945678248,0.808170846768236,0.7407790758359597,0.018616629659012396,0.007238007995720915,0.9741453623452667,0.0740413108928969,0.925958689107103,2212.5010599889133,1393.456512670125,1003.8280775308009,724.112811493062
