shift,allocated1,allocated2,allocated3,allocated4,allocated,abandoned1,abandoned2,abandoned3,abandoned4,abandoned,Arrival time1,Arrival time2,Arrival time3,Arrival time4,Arrival time,sharing1,sharing2,sharing,SW1, SW2, SW3,SW4,SWP,SWpenalty, SW,SW1 %,SW2 %, SW3 %,SW4 %,SWP %,Working,Waiting,Moving,Patroling,Working%,Waiting%,Moving%,Patroling%,Reallocation%,completed1,completed2,completed3,completed4,completed,working1, working2, working3, working4, working,sharing1_1,sharing1_2,sharing1_3,sharing2_1,sharing2_2,SW1_average,SW2_average,SW3_average,SW4_average
0,1.0,0.625,1.0,1.0,0.23333333333333334,0.3333333333333333,0.8,1.0,1.0,0.7857142857142857,131.12424611739428,42.17850293572749,187.10649916386143,72.01345900369505,90.46657766952309,0.6666666666666666,1.0,0.875,1974.8801200304852,2995.381761963333,942.3816697554296,NaN,2237.0643251000674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17772.744449950944,0.0,29163.807422259095,25118.264172887502,0.24665588541406266,0.0,0.404744734952985,0.34859937963295234,0.03122730573710966,0.6666666666666666,0.4,0.5,0.5,0.5,0.2542964203096989,0.47591983866920007,0.34608931674264465,0.6258001530844819,0.43687459155277236,0.0013321492007121842,0.005082149200708769,0.9935857015985791,0.2983953166530532,0.7016046833469471,848.7528390406674,1029.5280038514002,1109.4074706387253,625.2980567530194
0,1.0,1.0,1.0,0.5,0.26666666666666666,0.5,1.0,0.75,0.0,0.75,30.44335196433376,46.29653559611693,13.127462124561093,14.339055626099434,32.043628822156094,0.75,0.8571428571428571,0.8181818181818182,3200.4352662704887,NaN,NaN,707.7060525178606,1956.4073553699943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31778.92888041789,0.0,20627.904592216437,19628.83024201812,0.44115549495456213,0.0,0.2863568339416939,0.272487671103744,0.01960784313725491,0.5,0.2857142857142857,0.5,1.0,0.4375,0.5904238113515313,0.6002265056894379,0.7883275072954222,0.8076303019181438,0.680797992941561,0.49714254011612874,0.15721282447314852,0.34564463541072277,0.46609678366620627,0.5339032163337938,1388.055884340764,1150.0618845606064,1019.0289886820963,707.7060525178606
0,1.0,0.75,1.0,1.0,0.25,0.5,0.8333333333333334,0.6666666666666666,1.0,0.7333333333333333,44.36479567038282,19.41181080866217,28.668067260124797,170.1132185875378,48.010712432596954,1.0,0.8333333333333334,0.9,3553.5563143052086,5414.81907236027,NaN,-82.89793555007748,1776.0463079862914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28453.167398163907,0.0,24863.03932106592,18688.225299683887,0.39515855622178914,0.0,0.3452987354241617,0.25954270835404925,0.02977487291212781,0.25,0.5,0.6666666666666666,0.0,0.4,0.8198683118155656,0.491855357555931,0.7883967098680273,NaN,0.6453713007032356,0.28373370370930456,0.10240862667101726,0.6138576696196782,0.09835472038483345,0.9016452796151665,1727.6886521911329,1385.584802097598,1079.337063487667,NaN
0,1.0,1.0,1.0,1.0,0.2833333333333333,0.7777777777777778,0.5,0.5,0.5,0.6470588235294118,36.14288362845733,9.53616624679055,32.77407437160373,10.593964165336775,26.480393806891716,0.8888888888888888,1.0,0.9230769230769231,NaN,NaN,NaN,791.8828407416796,1174.905752998093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40004.227077607975,0.0,20106.458198777233,12139.972425463118,0.5536866839702773,0.0,0.278287545585386,0.16802577044433675,0.02323892519970952,0.4444444444444444,0.75,1.0,0.5,0.5882352941176471,0.5538037615631775,0.7873808378880586,0.8459327044847688,1.0,0.7269222968886422,0.5517837599425481,0.2590141422365101,0.18920209782094183,0.09326217029733756,0.9067378297026624,1058.531660371315,1457.0712315633928,915.153339325544,800.0
0,1.0,1.0,1.0,1.0,0.2833333333333333,0.5,0.875,1.0,1.0,0.8235294117647058,45.78388447049971,25.537035433810534,59.543927361095214,101.62937865351091,47.729871296188605,1.0,1.0,1.0,NaN,NaN,NaN,719.7013684094547,1916.8008796803647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24511.731956929765,0.0,28027.960666358576,19616.769813677653,0.3397025176829113,0.0,0.3884331315555149,0.2718643507615739,0.035584604212055185,0.5,0.75,0.5,0.3333333333333333,0.5882352941176471,0.4773575199942881,0.518690835682113,0.9539765864257377,0.43005432321493464,0.5450890963721927,0.2117397518668162,0.7491574397060642,0.03910280842711961,0.37279981252614075,0.6272001874738592,762.2075773379767,1087.5082614425178,1158.4220473598727,662.1905054359383
0,1.0,1.0,0.6,1.0,0.25,0.6666666666666666,0.875,0.3333333333333333,1.0,0.7333333333333333,31.97419716084374,62.533723822854,84.77228319863967,28.84983582655668,58.62393783252261,1.0,1.0,1.0,NaN,NaN,805.689802973701,77.3558003672347,1850.5303445114776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27797.274851471586,0.0,25467.99425399927,18769.211481594284,0.38588846098326696,0.0,0.35355282701340707,0.26055871200332603,0.024691358024691367,0.6666666666666666,0.5,0.0,0.0,0.4,0.7290862563109475,0.5669575451517697,NaN,NaN,0.6210004488714955,0.006020524291368945,0.5254397460379122,0.46853972967071883,0.16054169296637527,0.8394583070336248,1427.237217040128,1160.080183258511,NaN,NaN
0,0.8,0.8571428571428571,1.0,1.0,0.25,0.75,0.8333333333333334,0.0,0.75,0.7333333333333333,15.135750219403814,31.218208237184555,6.077336891054893,67.00108198547564,34.79559434224534,1.0,0.8333333333333334,0.9,4731.870904771798,NaN,1139.2465449538013,666.1146073665133,1697.6900692526551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35041.98058926244,0.0,20732.080364511978,16900.305497103207,0.4821779989365049,0.0,0.2852736305382902,0.23254837052520486,0.027596223674655047,0.75,0.6666666666666666,1.0,0.25,0.6,0.5902942036465788,0.753624001339338,0.8681057261311753,0.3018996856166064,0.66170933644943,0.3120935776735702,0.39883598974219536,0.2890704325842345,0.2965554466790124,0.7034445533209877,1374.6869081466066,1161.7629770541337,1139.2465449538013,362.81333776700194
0,0.7142857142857143,1.0,1.0,1.0,0.25,0.6,1.0,1.0,1.0,0.8666666666666667,8.857680390190898,22.441503930429754,16.139394851463784,2.8759495687304253,15.768911249041384,1.0,1.0,1.0,NaN,NaN,1675.8543840378502,NaN,1330.4719747415065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43743.28715562241,0.0,16257.949004725557,12124.389779521623,0.6064874527687393,0.0,0.22541154815459968,0.16810099907666115,0.01960784313725491,0.8,0.7142857142857143,0.0,1.0,0.6666666666666666,0.7465579531041833,0.6862580130639795,NaN,0.9470124504208154,0.7364534328157446,0.14810259882879226,0.15065469164792303,0.7012427095232847,0.35989898174853757,0.6401010182514625,1831.9987143472122,1175.20452185752,NaN,780.5708984287061
0,1.0,0.75,1.0,1.0,0.2833333333333333,0.5,0.6666666666666666,0.5,1.0,0.5882352941176471,16.475830553186015,16.773592567758897,56.465141488799006,19.287936594131043,21.563837611823345,1.0,1.0,1.0,NaN,2399.043505984889,1017.7373939443479,721.6779181215246,931.8330953833126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49844.794114627075,0.0,14901.366118721751,8693.839766651105,0.6787145168113715,0.0,0.20290531207409812,0.1183801711145304,0.016460905349794244,0.6,0.0,0.5,0.0,0.4117647058823529,0.7415733006645279,NaN,0.5906164126811443,NaN,0.7200080309526159,0.23628205071309402,0.19861548452348765,0.5651024647634183,NaN,NaN,1647.1534598360088,NaN,850.4774929713833,NaN
0,1.0,1.0,1.0,1.0,0.2833333333333333,0.0,0.5,0.5,0.6666666666666666,0.47058823529411764,117.01281377557717,39.91452977219847,35.496091512839385,57.83913112126644,50.58863227206947,1.0,1.0,1.0,1476.7400514047777,NaN,NaN,1085.094980149568,2190.201881561303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21658.841043664557,0.0,28556.557868758428,22333.634233405992,0.2985407262441206,0.0,0.39361734582124086,0.3078419279346386,0.02033405954974583,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5294117647058824,0.163417688783767,0.7460215822241982,0.8245919941738981,0.6444444444444445,0.6401878847951075,0.4627775568903352,0.0103206213244743,0.5269018217851905,0.323864109413999,0.676135890586001,738.3700257023888,1251.6540529236272,1019.8670272164414,352.1013349214123
